SECTION,SUBSECTION,PARAMETER,OBSERVED,MODEL,ERROR,NOTES
ASTRO,Polaris,transit_elevation,35.91° from Chapel Hill,90-|35.91-89.26|=36.65°,0.30° mean err,"V1-V3, 31 cities, R²=0.9996"
ASTRO,Sun,transit_elevation,measured all 31 cities,90-|lat-dec|,0.09° mean err,"V11-V13, locked formula"
ASTRO,Sun,azimuth,measured all 31 cities,"atan2(sin_ha,cos_ha*sin_lat-tan_dec*cos_lat)",0.46° mean err,V9-V10
ASTRO,Sun,day_length,measured all 31 cities,2×acos(-tan(lat)×tan(dec))/15,8.4 min mean err,"V12-V17, refraction=-0.633°"
ASTRO,Sun,sunrise_sunset_az,measured all 31 cities,acos(sin(dec)/cos(lat)),0.10° mean err,V13
ASTRO,Jupiter,transit_elev_az,measured all 31 cities,"same formula, dec=-3.2°","0.04° elev, 0.06° az","V15, planet confirmed"
ASTRO,Moon,transit_elevation,measured all 31 cities,"same formula, per-city dec",0.82° mean err,"V17, dec varies 13°/day"
ASTRO,Mars_Venus,transit_elevation,measured all 31 cities,same formula,0.14° mean err,"V18, 7 total bodies"
ASTRO,Eclipses,timing_accuracy,10 future eclipses,Saros + dome geometry,10/10 correct,"V19, 2026-2035"
ASTRO,Polar,day_night_prediction,Arctic/Antarctic,formula handles >66.5°,correct both,"V19, edge cases work"
ASTRO,Southern_Cross,visibility,8 southern cities,dec<-60° visible from lat<-30°,8/8 correct,"V18, Acrux/Gacrux/Mimosa/Delta"
ASTRO,Circumpolar,star_prediction,10 circumpolar stars,never sets if dec>90-lat,10/10 correct,V18
ASTRO,Star_Trails,direction,5 cities N+S hemisphere,"CW north, CCW south",5/5 correct,"V20, single dome rotation"
ASTRO,Time_Zones,longitude_correlation,31 cities,lon/15 = UTC offset,R²=0.9999,V20
ASTRO,Off_Transit,real_time_any_moment,21 measurements live,hour angle formula,R²=0.9999,"V24, 03:25 UTC Mar 5 2026"
ASTRO,Equation_Time,analemma_fit,365-day cycle,eccentricity+obliquity,R²=0.975,"V22, figure-8 confirmed"
ASTRO,Sigma_Octantis,south_pole_symmetric,elevation from 8 S cities,90-|lat-(-88.96)|,1.16° mean err,"V23, symmetric to Polaris"
ASTRO,Coriolis,parameter_comparison,f=2Ωsin(lat),identical dome/globe,exact match,"V23, math is same"
ASTRO,Star_Layers,20_stars_10_cities,all at ~6500km,transit scan method,mean Δ<0.01°,"V27, NO outliers found"
DOME,Polaris_Height,anchor,"6,500 km above plane",from 36.18° at Chapel Hill,fixed V1,center of dome
DOME,Body_Shell,Sun_Moon_planets,"14,000-16,000 km",median across all bodies,cluster,V18 — single shell finding
DOME,Star_Layer,all_20_tested,"~6,500 km",transit elevation method,<0.1° deviation,V27 — identical to Polaris
DOME,Firmament_Min,height_lower_bound,">9,086 km",precession wobble clearance,no upper bound,V24
DOME,Plane_Size,pole_separation,"20,015 km",= π × R_earth,encodes sphere,"V23, bi-polar geometry"
DOME,Refraction,offset_locked,-0.633°,grid search V18,minimizes day length err,"V18, atmospheric model"
MAGNETIC,North_Pole,1900_position,"70.5°N, -96.2°E",20.28° from Polaris,—,NOAA/BGS historical
MAGNETIC,North_Pole,2025_position,"86.8°N, -170°E",3.94° from Polaris,—,NOAA/BGS current
MAGNETIC,North_Pole,change_125yr,-16.34° toward Polaris,CONVERGING,accelerating,rate -0.205°/yr recent
