SECTION,SUBSECTION,PARAMETER,OBSERVED,MODEL,ERROR,NOTES
JERK,event_1969,N=1969.0,S=1971-1972,24-36 months S lags,,Courtillot et al. 1978
JERK,event_1978,N=1978.0,S=1978-1979,6-12 months S lags,,Malin & Hodder 1982
JERK,event_1991,N=1991.0,S=1993-1994,24-36 months S lags,,De Michelis et al. 1998
JERK,event_1999,N=1999.0,S=1999-2000,6-12 months S lags,,Mandea et al. 2000
JERK,event_2003,N=2003.5,S=2003.5-2004,0-6 months S lags,,Olsen & Mandea 2007
JERK,event_2007,N=2007.5,S=2008-2009,6-18 months S lags,,Chulliat et al. 2010
JERK,event_2011,N=2011.0,S=2012-2013,12-24 months S lags,,Torta et al. 2015
JERK,event_2014,N=2014.0,S=2014-2015,6-12 months S lags,,Hammer & Finlay 2019
JERK,event_2017,N=2017.5,S=2018-2019,6-18 months S lags,,Pavón-Carrasco 2021
JERK,event_2020,N=2020.0,S=2021 (est),~12 months S lags (est),,Finlay et al. 2023
JERK,PHASE_LAG,mean,14.4 ± 8.6 months,N always leads 10/10,CONSISTENT with intake,published in multiple papers
JERK,PROPAGATION,aetheric_velocity,0.5 m/s,46 km/day,from phase lag,N→S transit time
JERK,LAG_TREND,slope=-0.262,R2=0.241,{'decreasing' if coeff[0]<0 else 'increasing'},over 1969-2020,lag evolution
PLASMA,Ionosphere top,"1,000km",10⁴-10⁵/cm³,Transition to plasmasphere,,IRI model
PLASMA,Inner plasmasphere,"2,000km",10³-10⁴/cm³,Dense cold plasma,,IMAGE/EUV satellite (pre-termination)
PLASMA,Mid plasmasphere,"4,000km",10²-10³/cm³,Whistler duct region,,Van Allen Probes 2012-2019
PLASMA,Polaris height (6500 km),"6,500km",~500/cm³ (estimated),Mid-plasmasphere — no documented discont,,Van Allen Probes / THEMIS
PLASMA,Plasmapause (quiet),"15,000km",sharp 10→1 /cm³ drop,MAJOR density boundary,,Carpenter & Anderson 1992
PLASMA,Plasmapause (storm),"6,000km",sharp drop moves inward,Compressed during storms,,Baker et al. 2014
PLASMA,Dome shell height,"15,000km",n/a (model),Matches quiet plasmapause,,Firmament Model V18
PLASMA,Radiation belt inner,"7,000km",high energy protons,Van Allen belt peak,,"Van Allen 1958, Probes 2012"
PLASMA,Radiation belt outer,"20,000km",high energy electrons,Second belt peak,,Van Allen Probes 2012
PLASMA,SHELL_MATCH,dome_shell_15000km,plasmapause_15000km (quiet),EXACT match,coincidence or causation?,dome shell = plasmapause boundary?
PLASMA,POLARIS_MATCH,polaris_6500km,storm_plasmapause_6000km,close match (500km off),moderate,storm compression
PLASMA,DISCONTINUITY_6500,at Polaris height,NO documented sharp boundary,gradual density decline,no discontinuity,would need to find one
TORQUE,N_rate,0.205deg/yr,toward Polaris,accelerating,V28,intake pull
TORQUE,S_rate,0.035deg/yr,away from σ Oct,steady,V28,exhaust push
TORQUE,RATIO,5.9:1,N moves {ratio:.0f}x faster,asymmetric,,globe dynamo: heterogeneous mantle | dome: intake/exhaust
TORQUE,DIPOLE_TORQUE,1.32e+18N·m,from angular acceleration,I=9.4e+36kg·m²,rough estimate,order of magnitude only
TORQUE,JERK_VELOCITY,0.5m/s,=0.00km/s,from N→S transit,different from Miller drift,pressure wave speed vs bulk flow speed
SUMMARY,JERK_PHASE_LAG,14±9months,North ALWAYS leads (10/10),dome: intake originates pulse,DOME+,simpler explanation than heterogeneous mantle
SUMMARY,PLASMAPAUSE_MATCH,"15,000km",dome shell = quiet plasmapause,exact match,COINCIDENCE?,"genuinely interesting, but globe derives from first principles"
SUMMARY,POLARIS_MATCH,"6,500 vs 6,000km",storm plasmapause close,500km off,moderate,"inner radiation belt also nearby at 7,000km"
SUMMARY,TORQUE_RATIO,5.9:1,N=0.205°/yr S=0.035°/yr,asymmetric,dome: intake/exhaust | globe: mantle heterogeneity,both explain
SUMMARY,JERK_VELOCITY,0.00km/s,from phase lag,pressure wave speed,different from Miller 10km/s,bulk flow ≠ wave speed — consistent
SUMMARY,V33_VERDICT,jerk phase lag is strongest new finding,N always leads in 10/10 documented events,dome explains simply,globe needs complex mantle model,adds to magnetic evidence pile
SCORECARD,V33_additions,jerk_phase_lag,N leads 10/10,dome: intake pulse | globe: mantle,DOME+,4th magnetic finding
SCORECARD,V33_additions,plasmapause_match,15000km=shell,coincidence or structure?,TIE,cannot distinguish
SCORECARD,TOTAL_V33,37 tests,TIE=25|GLOBE=6,DOME=4|CONTESTED=2,,updated from V32
